"","id","trait","ncase","group_name","year","author","consortium","sex","pmid","population","unit","sample_size","build","ncontrol","category","subcategory","ontology","note","mr","nsnp","doi","coverage","study_design","priority","sd"
"34041","ubm-a-1422","NET100 0266",NA,"public",2018,"Elliott LT","NA","Males",30305740,"European","NA",7916,"HG19/GRCh37",NA,"Continuous","Psychiatric / neurological","NA","NA",1,11734354,NA,NA,NA,0,NA
"34042","prot-a-2118","Netrin-1",NA,"public",2018,"Sun BB","NA","Males and Females",29875488,"European","NA",3301,"HG19/GRCh37",NA,"Immune system","Protein","NA","NA",1,10534735,NA,NA,NA,0,NA
"34043","ukb-e-400_EAS","Time to complete round",2401,"public",2020,"Pan-UKB team","NA","Males and Females",NA,"East Asian","NA",2401,"HG19/GRCh37",0,"Continuous","NA","NA","NA",1,8272502,NA,NA,NA,0,NA
"34044","eqtl-a-ENSG00000185324","ENSG00000185324",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",26410,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,19106,NA,NA,NA,0,NA
"34045","eqtl-a-ENSG00000100345","ENSG00000100345",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31644,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,19614,NA,NA,NA,0,NA
"34046","eqtl-a-ENSG00000266256","ENSG00000266256",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",4677,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,20406,NA,NA,NA,0,NA
"34047","ukb-a-89","Non-cancer illness code  self-reported: iron deficiency anaemia",1836,"public",2017,"Neale","Neale Lab","Males and Females",NA,"European","SD",337159,"HG19/GRCh37",335323,"NA","NA","NA","NA",1,10894596,NA,NA,NA,1,NA
"34048","prot-a-1476","Interleukin-13 receptor subunit alpha-1",NA,"public",2018,"Sun BB","NA","Males and Females",29875488,"European","NA",3301,"HG19/GRCh37",NA,"Immune system","Protein","NA","NA",1,10534735,NA,NA,NA,0,NA
"34049","met-d-XXL_VLDL_C_pct","Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL",NA,"public",2020,"Borges CM","NA","Males and Females",NA,"European","NA",111631,"HG19/GRCh37",NA,"Continuous","NA","NA","NA",1,12321875,NA,NA,NA,0,NA
"34050","eqtl-a-ENSG00000230362","ENSG00000230362",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",3831,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,16896,NA,NA,NA,0,NA
"34051","ukb-a-478","Types of transport used (excluding work): Car/motor vehicle",268888,"public",2017,"Neale","Neale Lab","Males and Females",NA,"European","SD",335650,"HG19/GRCh37",66762,"NA","NA","NA","NA",1,10894596,NA,NA,NA,1,NA
"34052","ukb-a-483","Types of physical activity in last 4 weeks: None of the above",19551,"public",2017,"Neale","Neale Lab","Males and Females",NA,"European","SD",335599,"HG19/GRCh37",316048,"NA","NA","NA","NA",1,10894596,NA,NA,NA,1,NA
"34053","ukb-e-806_AFR","Job involves mainly walking or standing",4364,"public",2020,"Pan-UKB team","NA","Males and Females",NA,"African American or Afro-Caribbean","NA",4364,"HG19/GRCh37",0,"Continuous","NA","NA","NA",1,15525888,NA,NA,NA,0,NA
